,ACCT_ID_M,DIRECT_DEBIT_FLAG,NUM_PAYMENT_CHALLENGED_6M,NUM_REFUNDS_3M,CHANNEL_PAY_APOST_12M,CHANNEL_PAY_BPAY_12M,CHANNEL_PAY_BPOINT_12M,CHANNEL_PAY_DD_SAVING_12M,CHANNEL_PAY_DD_CREDIT_12M
1176424,25574351,0,0,0,0,0,0,0,0
363399,15595153,0,0,0,0,6,0,0,0
1307787,20799747,0,0,0,0,2,2,0,0
1039625,21523771,0,0,0,0,4,0,0,0
1794060,13908367,0,0,0,4,0,0,0,0
1407898,12869945,0,0,0,0,5,0,0,0
213907,7984041,1,0,0,0,1,0,3,0
1585290,11163891,0,0,0,0,22,0,0,0
590594,23205331,0,0,0,0,4,0,0,0
764300,24062577,0,0,0,0,0,4,0,0
554482,23588139,0,0,0,0,0,3,0,0
1964330,24427453,0,0,0,0,0,4,0,0
242083,23228637,0,0,0,4,0,0,0,0
754717,23891369,0,0,0,0,10,0,0,0
272168,11576867,0,0,0,0,3,0,0,0
2282308,4573867,1,0,0,0,0,0,4,0
1032509,4514623,0,0,0,4,0,0,0,0
200174,18761713,0,0,0,0,6,0,0,0
915405,3858967,0,0,0,0,4,0,0,0
1477668,13461985,1,0,0,0,0,0,4,0
712340,13755867,1,0,0,0,0,0,4,0
1606783,15335545,0,0,0,0,3,1,0,0
841128,14635359,0,0,0,0,6,0,0,0
1967513,23814943,0,0,0,0,0,4,0,0
1844783,21322147,1,0,0,0,0,0,6,0
1145864,20607505,0,0,0,0,6,0,0,0
2225608,12333697,1,0,0,0,0,0,0,4
2243381,7018809,0,0,0,0,1,0,0,0
777971,6528241,0,0,0,0,2,2,0,0
1907543,11001611,0,0,0,2,1,0,0,0
741379,5216583,1,0,0,0,0,0,4,0
852636,6574077,0,0,0,1,5,0,0,0
2196551,22527167,1,0,0,0,0,0,24,0
1312195,21639547,1,0,0,0,0,4,0,0
379175,20658365,0,0,0,0,0,4,0,0
2120101,8203689,1,0,0,0,0,0,0,4
793641,10929901,0,0,0,4,0,0,0,0
438155,7848695,0,0,0,0,4,0,0,0
885171,8405965,0,0,0,0,0,0,0,0
882918,25440085,0,0,0,0,0,0,0,0
1591195,12100357,0,0,0,0,0,4,0,0
363451,8935295,1,0,0,0,0,0,6,0
10795,6899423,0,0,0,0,6,0,0,0
1314626,18248025,0,0,0,0,27,0,0,0
1317597,14808821,0,0,0,0,10,0,0,0
17786,19403383,0,0,0,0,3,1,0,0
1334021,8712395,0,0,0,0,0,6,0,0
1105527,22878121,1,0,0,0,0,0,4,0
2120978,20984241,0,0,0,0,6,1,0,0
1479951,18712057,0,0,0,4,0,0,0,0
1239217,20006015,0,0,0,0,4,0,0,0
1943199,9763073,0,0,0,0,6,0,0,0
1967334,25214869,0,0,0,0,0,0,0,0
2141093,11191329,0,0,0,0,4,0,0,0
1440525,2911815,1,0,0,0,28,0,0,0
2268338,12908185,0,0,0,0,4,0,0,0
669484,18552903,0,0,0,0,4,0,0,0
534057,25346263,0,0,0,0,0,0,0,0
2017034,15866861,0,0,0,0,26,0,0,0
2182816,19333641,0,0,0,0,4,0,0,0
316672,23451417,0,0,0,0,6,0,0,0
476484,23173033,0,0,0,0,0,0,0,0
923316,22332437,0,0,0,4,0,0,0,0
31473,20331769,0,0,0,0,2,0,0,0
1367567,12969303,0,0,0,4,2,0,0,0
957723,22783491,0,0,0,0,0,4,0,0
1386475,11774251,1,0,0,0,4,0,0,0
940620,16261687,0,0,0,0,4,0,0,0
1059437,10586227,0,0,0,0,4,0,0,0
1896570,8737235,0,0,0,0,0,4,0,0
1244021,8787943,0,0,0,0,13,1,0,0
81579,9445719,0,0,0,0,5,0,0,0
1294164,5489457,0,0,0,0,0,4,0,0
703390,1794203,0,0,0,3,1,0,0,0
448521,21641997,1,0,0,0,0,0,4,0
1674076,25268853,0,0,0,0,0,0,0,0
2003486,24795507,0,0,0,0,0,2,0,0
102416,19414245,0,0,0,0,4,0,0,0
352626,23859667,0,0,0,0,2,2,0,0
1093370,16415341,0,0,0,0,0,9,0,0
1564593,19821203,0,0,0,0,0,4,0,0
494735,21688813,0,0,0,0,0,0,0,0
2322873,14882903,1,0,0,0,0,0,25,0
1841841,10269161,0,0,0,0,0,5,0,0
997710,22207427,0,0,0,0,4,0,0,0
970876,3568827,0,0,0,0,0,4,0,0
651057,1068033,0,0,0,0,0,4,0,0
2116277,12600165,1,0,0,8,0,0,0,0
641954,24758327,0,0,0,0,1,0,0,0
2038362,23128813,0,0,0,0,26,0,0,0
1608096,830999,0,0,0,0,4,0,0,0
1238825,15443011,0,0,0,0,3,1,0,0
1478438,18297875,1,0,0,11,0,0,14,0
196202,22433127,1,0,0,0,0,0,0,4
568006,9512237,1,0,0,0,0,0,0,4
2146471,19253465,0,0,0,0,4,0,0,0
1344764,5750015,0,0,0,0,6,0,0,0
308345,21714683,0,0,0,0,0,2,0,0
1730684,2227371,0,0,0,0,3,0,0,0
1098340,16843607,0,0,0,4,0,0,0,0
619674,2424371,0,0,0,0,0,5,0,0
649771,1185325,0,0,0,22,0,0,0,0
1906325,11611857,0,0,0,0,6,0,0,0
2168171,23727715,0,0,0,0,5,0,0,0
1777825,757067,0,0,0,0,4,0,0,0
2049225,5713163,1,0,0,0,0,0,0,4
2182100,8302989,0,0,0,0,7,0,0,0
867012,24501987,0,0,0,0,0,2,0,0
2223639,24757419,0,0,0,0,0,0,0,0
1715350,1875705,0,0,0,5,0,0,0,0
1542304,23408299,0,0,0,0,2,1,0,0
2266394,10993317,1,0,0,0,0,0,4,0
1845614,7746797,1,0,0,0,0,0,6,0
2119738,19403655,0,0,0,0,4,1,0,0
714320,8401919,0,0,0,4,0,0,0,0
796639,19287373,0,0,0,0,4,0,0,0
1178510,24545869,1,0,0,0,0,0,2,0
1958375,10235017,0,0,0,4,0,0,0,0
1674203,24532793,0,0,0,0,2,0,0,0
1648624,20962515,0,0,0,0,5,0,0,0
1647105,9886733,0,0,0,0,0,0,17,0
1283881,23368143,0,0,0,13,0,0,0,0
946329,15803309,1,0,0,0,2,0,3,0
2258451,23012419,0,0,0,0,30,0,0,0
1606023,4449655,0,0,0,7,0,0,0,0
1957144,8978775,0,0,0,0,4,0,0,0
1574046,17391043,0,0,0,0,0,0,0,0
1905849,22160243,1,0,0,0,0,3,0,1
98851,3332217,0,0,0,0,4,0,0,0
346610,10230269,1,0,0,0,0,0,4,0
30584,21761621,0,0,0,0,6,0,0,0
1651613,20706661,1,0,0,0,0,0,0,4
2245189,9686761,0,0,0,0,4,0,0,0
458037,24200619,1,0,0,0,1,2,3,0
