,ACCT_ID_M,OFFER_CHANNEL_CODE,ACQ_BROKER_EVER,ACQ_EXTERNAL_EVER,ACQ_INTERNAL_EVER,DEPT_Sales Chat
581709,21002215,NBSC,0,0,1,0.0
1158806,25572227,NBSC,0,0,1,0.0
2141700,21090965,NBSC,0,1,1,
1424854,6400781,NBSC,0,0,1,
2199212,18604775,NBSC,0,0,1,
2326460,296333,ONLINETPU,0,0,1,
406927,24500771,NBSC,0,0,1,0.0
2296524,24292623,NBSC,0,1,0,0.0
1855787,23129743,ONLINETPU,0,1,1,0.0
2313611,23305395,CST,0,0,1,
770262,24913781,DIGITAL,0,0,1,0.0
1083343,23449367,DIGITAL,0,0,1,
484454,8159509,ONLINETPU,0,1,1,
187475,8524611,ONLINETPU,0,1,1,
138478,21119211,ONLINETPU,0,0,1,
842558,8779339,,0,0,0,
180010,1693451,ONLINETPU,0,1,1,
2033335,20063505,NBSC,0,0,1,0.0
859096,21259135,ONLINETPU,0,0,1,
492721,5166703,NBSC,0,0,1,
682421,23366299,NBSC,0,1,1,
135054,3938047,NBSC,0,0,1,
1032188,24317759,NBSC,0,0,1,0.0
745566,19563551,ONLINETPU,0,0,1,
1283271,19357953,NBSC,0,1,1,
1094147,20034459,NBSC,0,0,1,
777192,20359461,ONLINETPU,0,0,1,
746149,22690557,ONLINETPU,0,0,1,0.0
2051442,1244091,NBSC,0,0,1,
1636908,24273217,ONLINETPU,0,1,0,
774397,25252639,DIGITAL,0,0,1,
577321,14317865,CST,0,0,1,
824924,24047513,ONLINETPU,0,0,1,
1050044,24175997,DIGITAL,0,0,1,
653911,21276449,CIC_SAL,0,0,1,
1131604,17651563,NBSC,0,0,1,
1821889,13165245,NAV,0,0,1,
544611,22596495,DIGITAL,0,0,1,
1603137,21964371,ONLINETPU,0,0,1,0.0
1201580,9579077,ONLINETPU,0,1,1,
1129471,20539497,ONLINETPU,0,0,1,
1658844,15640299,ONLINETPU,0,0,0,
1604439,19311045,NBSC,0,0,1,
1011448,24465427,ONLINETPU,0,1,0,0.0
136496,17532233,ONLINETPU,0,0,1,
1041993,20599187,NBSC,0,0,1,
1291650,3362421,NBSC,0,0,1,
2081629,14793441,CIC_SAL,0,0,1,0.0
